CCC(C)S	CHEMBL3183438
ClC1=CC(=O)C(Cl)=CC1=O	CHEMBL3311439
CCOc1cc(OC)c(CC(C)N)cc1OC	CHEMBL8225
CCCCc1cc(OC)c(OC)cc1OC	CHEMBL1163196
NC1=NC(Cc2ccccc12)c1cccs1	CHEMBL8065
COc1cc(C#N)c(OC)cc1CC(C)N	CHEMBL8336
OC(=O)C1CSC(=N1)c1ccccc1O	CHEMBL8770
CCCc1cc(OC)c(CC(C)N)cc1OC	CHEMBL8569
CC(=O)N(CC(O)=O)c1ccccc1C	CHEMBL8619
Cc1cc(nc2ccccc12)C1CCCCC1	CHEMBL9233
COc1ccc(cc1OC)C1CNC(=O)C1	CHEMBL9175
CCN(C)N=Nc1ccc(cc1)C(O)=O	CHEMBL9704
CCCc1cc(C)c2cccc(CCC)c2n1	CHEMBL9607
CSC(=S)NN=C(C)c1ccncn1	CHEMBL2094336
CNC(C)Cc1cc(OC)c(I)cc1OC	CHEMBL10968
CN(O)C=CC(=O)c1ccc(F)cc1	CHEMBL11399
CC=C(NC(=O)CC1CC1)C(O)=O	CHEMBL11462
CCCCCCC(=O)NC(=CC)C(O)=O	CHEMBL12142
CCNC(=O)C=Cc1ccc(O)cc1	CHEMBL1163466
CCC(C)c1ccccc1OCC1=NCCN1	CHEMBL13639
C1CN=C(N1)C1COc2ccccc2C1	CHEMBL13743
C1CN=C(N1)c1cnc2ccccc2c1	CHEMBL13631
C1CN=C(N1)C1CNc2ccccc2O1	CHEMBL13918
C1CN=C(N1)c1ccc2ccccc2n1	CHEMBL13698
C1CN=C(N1)C1CSc2ccccc2O1	CHEMBL14015
CC(C)Oc1ccccc1OCC1=NCCN1	CHEMBL14226
CC(C)NCC(O)COc1ccccc1OCC=C	CHEMBL546
CCCC(=O)CC(=O)NC1CCOC1=O	CHEMBL16203
COC(=O)C=Cc1ccc(O)c(O)c1	CHEMBL17001
OC(=O)CCCNC(=O)c1ccccc1O	CHEMBL16897
COC(=O)C=Cc1cc(O)cc(O)c1	CHEMBL16937
O=C(C=Cc1ccccn1)c1ccccc1	CHEMBL16947
Cc1cccc(c1)N1CC(CO)OC1=O	CHEMBL18116
C1CN(CCN1)c1ccc2ccccc2n1	CHEMBL18772
NCCC1COc2ccc(cc12)C(N)=O	CHEMBL18928
Cc1cccc(Cc2cnc(N)nc2N)c1	CHEMBL19406
Nc1ccc(Cc2cnc(N)nc2N)cc1	CHEMBL19672
NCCc1coc2ccc(cc12)C(N)=O	CHEMBL19114
CN(CCCc1ccccc1)C1CCCCC1O	CHEMBL21093
C1NC(Cc2ccccc12)c1ccccc1	CHEMBL21342
CNC1CCc2c(C1)c(OC)ccc2OC	CHEMBL21961
CN1N=C(N(C)C1=O)c1ccccc1	CHEMBL22715
Clc1ccc(cc1)C1=NNC(=S)N1	CHEMBL22794
Nc1nc(F)c2ncn(COCCO)c2n1	CHEMBL24882
O=C1CCCCCC(=O)C1c1ccccc1	CHEMBL24355
C(C1Cc2ccccc2C1)c1ccncc1	CHEMBL24593
OP(O)(=O)Oc1cccc2ccccc12	CHEMBL24745
CSc1nnc(-c2ccc(C)cc2)n1C	CHEMBL24949
CCN1C(Cc2c[nH]cn2)COC1=O	CHEMBL24130
O=C1C2=C(CCCC2)c2ccccc12	CHEMBL25141
Nc1nc(N)c2ncn(COCCO)c2n1	CHEMBL25693
CCCOn1c(CC)nc2c(C)cccc12	CHEMBL25496
COc1ccc2N=C(O)C(=O)Nc2n1	CHEMBL27596
CSc1nnc(-c2ccc(F)cc2)n1C	CHEMBL27785
CCCOc1ccccc1C(=C)n1ccnc1	CHEMBL26722
CNc1ccc2N=C(O)C(=O)Nc2n1	CHEMBL27035
CCCCN1CCN(CC1)c1ccccc1OC	CHEMBL26789
NCCN=C(N)Nc1c(Cl)cccc1Cl	CHEMBL29099
Cn1cnc2c(ncnc12)-c1ccco1	CHEMBL29148
CSc1ccc2N=C(O)C(=O)Nc2n1	CHEMBL28064
CN(C)c1ccc2C=CC(=O)Nc2c1	CHEMBL28694
CC(=O)Nc1ccc2c(C)ccnc2c1	CHEMBL29870
COc1cc(CC(C)N)cc(OC)c1OC	CHEMBL30336
COc1ccc(CC(C)N)c(OC)c1OC	CHEMBL30777
Cc1cc(cc(C)n1)-c1ccccc1F	CHEMBL27984
CCNC1CCc2c(OC)ccc(I)c2C1	CHEMBL30378
CCCCC(C)c1cccc(C(C)C)c1O	CHEMBL29405
CC(=NNCCOc1ccccc1)C(O)=O	CHEMBL32261
COc1cc(CC(C)N)c(SC)cc1OC	CHEMBL31077
OCCNC(=S)Nc1c(Cl)cccc1Cl	CHEMBL31758
NCCNC(=S)Nc1c(Br)cccc1Br	CHEMBL31851
COc1cc(Br)c(CC(C)N)cc1OC	CHEMBL31557
NC(=O)c1ccccc1OCCn1ccnc1	CHEMBL33210
OC(=O)c1ccccc1OCCn1ccnc1	CHEMBL33514
CCCNC1Cc2cnn3cccc(C1)c23	CHEMBL34022
COc1cc(OC)c(CC(C)N)cc1Br	CHEMBL33867
Nc1nc(N)c2ccn(COCCO)c2n1	CHEMBL36038
NCCNC(=S)Nc1c(Cl)cccc1Cl	CHEMBL34285
OCCCCCn1cnc2C(O)CN=CNc12	CHEMBL34373
NCCOCn1cnc2c(N)nc(N)nc12	CHEMBL37391
CCCCCCn1cnc2C(O)CN=CNc12	CHEMBL37246
OP(O)(=O)Cc1cccc2ccccc12	CHEMBL37851
O=C1NC(=O)C(N1)=Cc1ccco1	CHEMBL38863
NCCOCn1cnc2c1NC(N)=NC2=O	CHEMBL38124
OC(=O)c1cc(Cl)cc2SCCNc12	CHEMBL38141
C1CN=C(N1)C1CCc2ccccc2N1	CHEMBL37352
NC1=NC(=O)Nc2c1ccn2COCCO	CHEMBL37363
CCCOCC1CN(NC1=O)c1ccccc1	CHEMBL38795
CC1(C)OCC2(CN3CCC2CC3)O1	CHEMBL39922
S=C1N2CCCCCC2=NC2=C1CCC2	CHEMBL39872
CC1N=CN(Nc2cccc(C)c2)C1C	CHEMBL39431
COCCC1CCN(NC1=O)c1ccccc1	CHEMBL41638
NC(N)NC(=O)c1nc(Cl)cnc1N	CHEMBL42504
CC(C)(Oc1ccccc1Cl)C(O)=O	CHEMBL43618
CNc1nccc(n1)-c1sc(C)nc1C	CHEMBL46474
CSc1ccc(cc1)N1CC(C)OC1=O	CHEMBL46711
CN(C)N=Nc1ccc(cc1)C(N)=O	CHEMBL46034
CCCSC(NCc1ccc(Cl)cc1)=NC	CHEMBL46488
FC(F)(F)c1cccnc1N1CCNCC1	CHEMBL45663
NC(=O)c1ccc2C(=O)C=Cc2c1	CHEMBL47831
COc1oc(nc1C)C1=CCCN(C)C1	CHEMBL49139
CN(C)N=Nc1ccc(cc1)C(C)=O	CHEMBL47686
Cc1nc(C)n2c(SCC=C)nncc12	CHEMBL47948
Clc1ccc(OCC2=NCCN2)cc1Cl	CHEMBL50472
Cn1cnc2c(NC3CCCC3)ncnc12	CHEMBL48278
CCCCCC(=O)Nc1cc(Cl)ccc1O	CHEMBL50610
NCCCCOc1ccccc1CCc1ccccc1	CHEMBL53258
Oc1ccc2C=CC(=O)C(=O)c2c1	CHEMBL51235
COc1cc(nc2ccccc12)C(O)=O	CHEMBL51773
CC(C)c1cc(I)cc(C(C)C)c1O	CHEMBL53267
CCCCCn1cnc2c1NC(N)=NC2=S	CHEMBL53268
OC(=O)c1ccc(CC2CCC2)nc1O	CHEMBL54031
CN(C)CCCCNc1ccnc2ccccc12	CHEMBL53869
Cc1cc(Cc2cccnc2)cc(C)c1O	CHEMBL54226
COCCOc1cc(Cl)cnc1N=C(N)N	CHEMBL54415
Clc1ccc(CCC2CCCNC2)cc1Cl	CHEMBL57464
CNCCc1c[nH]c2ccc(OC)cc12	CHEMBL58579
CN1CCCC2C1CCc1ccc(O)cc21	CHEMBL56617
COc1ccc(C=C(C#N)C#N)cc1F	CHEMBL57170
OC(=O)C1CC(=O)c2ccccc2N1	CHEMBL58404
Oc1ccccc1OCc1ccc(I)cc1	CHEMBL3314327
Nc1ccccc1OCc1ccc(I)cc1	CHEMBL3314336
Cc1ccccc1C(=O)Nc1ccon1	CHEMBL3314984
Cc1ccccc1C(=O)Nc1ncco1	CHEMBL3314985
Cc1ccccc1C(=O)Nc1ncns1	CHEMBL3314987
Cc1ccccc1C(=O)Nc1ccsc1	CHEMBL3314988
CC(C=Cc1ccco1)N(O)C(N)=O	CHEMBL58785
CCNC(=O)NC(=O)C(=NOC)C#N	CHEMBL59983
Cc1ccc(N2CCNCC2)c2occc12	CHEMBL59396
CC(C=Cc1ccsc1)N(O)C(N)=O	CHEMBL59063
NC(=O)c1ccccc1OCc1ccccc1	CHEMBL59956
CC1CC2CCCCC2(N)c2ccccc12	CHEMBL61109
CN(C)C(=S)C1=CCC2CCC1N2C	CHEMBL62346
Cc1ccc(C=CCN(O)C(N)=O)o1	CHEMBL61752
CN1C2CCC1CN(CC2)c1ccnnc1	CHEMBL61843
CN1CCCC(O)(C1=O)c1ccccc1	CHEMBL62653
CCC(=O)NCCc1cc(OC)ccc1OC	CHEMBL62574
CCCCCc1nc2[nH]cnc(N)c2n1	CHEMBL62828
Nc1ncnc2n(cnc12)C1CCCCC1	CHEMBL63783
COc1ccc2occ(CCN(C)C)c2c1	CHEMBL62426
NC(CN1C=C(O)NC1=O)C(O)=O	CHEMBL65093
CN1C2CCC1CN(CC2)c1cnccn1	CHEMBL64850
NC(=O)Nc1ccccc1-c1ccccc1	CHEMBL65026
CN(C)C(=O)C1=CCC2CCC1N2C	CHEMBL64415
c1cc(cs1)-c1cnc2ccccc2n1	CHEMBL65998
Brc1ccc(NN=Cc2ccccn2)cc1	CHEMBL67586
Brc1ccc(NN=Cc2ccncc2)cc1	CHEMBL67159
CN1CCN(CCC=Cc2ccccc2)CC1	CHEMBL68905
c1csc(c1)-c1cnc2ccccc2n1	CHEMBL69151
Brc1ccc(NN=Cc2cccnc2)cc1	CHEMBL69089
Cc1ccccc1-c1cc[n+](C)cc1	CHEMBL70438
CCCCC1=C(O)Nc2ncccc2C1=O	CHEMBL68473
CCOc1cc(cnc1Br)N1CCCNCC1	CHEMBL72433
Cc1ccc(CC2=NCCN2)c(C)c1O	CHEMBL72167
NC(=O)NN=Cc1c(Cl)cccc1Cl	CHEMBL72047
c1coc(c1)-c1cnc2ccccc2n1	CHEMBL69662
CN1CCN(CCC=Cc2ccccc2)CC1	CHEMBL72061
CCNC(=S)NCCCCCc1c[nH]cn1	CHEMBL72424
CNC(=O)C=Cc1ccc(O)c(O)c1	CHEMBL73558
CC(C)NC(=S)NCCc1c[nH]cn1	CHEMBL73629
CCCNC(=S)NCCCCc1c[nH]cn1	CHEMBL72769
CNC(=S)NCCCCCCc1c[nH]cn1	CHEMBL73370
C1CSC(SC1)c1ccc2ccccc2c1	CHEMBL73916
CCCCC(=NNC(N)=O)c1ccccc1	CHEMBL74397
CC(C)(C)CNC(=S)Nc1cccnc1	CHEMBL74146
CCCCOc1nonc1C1=CCCN(C)C1	CHEMBL75907
Clc1ccc(CCN2CCNCC2)cc1Cl	CHEMBL76336
CCC(C)(C)NC(=S)Nc1cccnc1	CHEMBL75362
FC(F)(F)C(=O)C=Cc1ccccc1	CHEMBL75566
OC(=O)Cc1ccccc1Nc1ccccc1	CHEMBL78188
C1CCN(CC1)c1ccc2ccccc2n1	CHEMBL76495
OC(=O)C(=Cc1ccc[nH]1)C#N	CHEMBL77381
COc1cc(C=C(C#N)C#N)ccc1O	CHEMBL77869
COc1ccc(C=C(C#N)C#N)cc1O	CHEMBL78302
OC(=O)CC1C(=S)Nc2ccccc12	CHEMBL83429
CCCOc1cc(C)nc2c(CC)cnn12	CHEMBL81670
Cc1cccc(c1)-c1ccc(N)cc1C	CHEMBL81950
CC1=CC=NN(CCCC(O)=O)C1=N	CHEMBL82982
CC(C)CNC(=S)Nc1ccc(N)nc1	CHEMBL83124
O=C1CC2(CN1)CCCc1ccccc21	CHEMBL82772
CC1NC(C(O)C1O)S(O)(=O)=O	CHEMBL84647
CCCCCCCCCCC=CCCCCCC(N)=O	CHEMBL85344
C1CCC(CC1)c1nnc2ccncc2n1	CHEMBL84214
COC(=O)C=CC1=CC=C(CO)SS1	CHEMBL86675
Oc1ccc(CC2SC(=O)NC2=O)cc1	CHEMBL1061
CCC=CCCCCCCCCCCCCCC(N)=O	CHEMBL86447
O=C1CCc2c(O1)ccc1ccccc21	CHEMBL86537
CCC(C)N=C(NC#N)Nc1cccnc1	CHEMBL86807
CCCCCCCCC=CCCCCCCCC(N)=O	CHEMBL86554
CCCCCn1ncc2c(N)cc(C)nc12	CHEMBL87683
COc1ccc(CCc2ccccc2)cc1OC	CHEMBL87865
CCc1cn(CCCN)nc1-c1ccccc1	CHEMBL87245
CCCCC=CCCCCCCCCCCCC(N)=O	CHEMBL89209
CCCCCCCCC=CCCCCCCOC(N)=O	CHEMBL89522
CCCCCCCCCCCC=CCCCCC(N)=O	CHEMBL89893
CCCCCCCCC=CCCCCCCNC(N)=O	CHEMBL89894
O=C1CCc2c(N1)ccc1ccccc21	CHEMBL88845
CN1C(=O)C(C)(C)c2cccnc12	CHEMBL90180
CCCCCC=CCCCCCCCCCCC(N)=O	CHEMBL90281
CN=C(NC#N)Nc1ccc(cc1)C#N	CHEMBL90631
S=C(NN=Cc1cccs1)NC1CCCC1	CHEMBL90735
CC(=O)NCCNc1ccnc2ccccc12	CHEMBL95358
CN1c2ncn(C)c2C(=O)NCC1=O	CHEMBL96358
Cc1c(C)c2c(N)ncnc2n1CC=C	CHEMBL95032
CN1CCC(=CC1)c1c(C)cccc1C	CHEMBL98104
CSc1ccccc1C(=O)Nc1ccccc1	CHEMBL95830
NNC(=S)C1(CCCS1)c1ccccn1	CHEMBL98191
CC1(C)OC(=CC1=N)c1ccccc1	CHEMBL97154
CNC(=S)C1(CCCS1)c1cccnc1	CHEMBL95593
CNC(=S)C1(CCCO1)c1ccccn1	CHEMBL99181
CCN(CC)CCNc1ccnc2ccccc12	CHEMBL99170
CCCCOc1ccc(C=CC(O)=O)cc1	CHEMBL97029
CNC(=S)C1(CCCS1)c1cnccn1	CHEMBL97101
Cc1ccc2CCC3(CN=CN3)Cc2c1	CHEMBL98471
CCOC(=O)C=CC(C)CCC=C(C)C	CHEMBL97495
CN(C)CCN1C(=N)Sc2ccccc12	CHEMBL97841
CC(=CCCCCC(O)=O)c1cccnc1	CHEMBL98941
CCN1CNS(=O)(=O)c2cnccc12	CHEMBL99732
CNC1CC11C2CC3CC(C2)CC1C3	CHEMBL99777
CN1CNS(=O)(=O)c2ncccc12	CHEMBL101702
CCCN1CCOC(C1)c1ccccc1OC	CHEMBL102288
CC1Nc2ncccc2S(=O)(=O)N1	CHEMBL101498
C1CCN(CC1)c1nc2ccccc2o1	CHEMBL102655
OC(Cn1ccnc1)c1ccccc1Cl	CHEMBL3318360
CC(C)(C)c1ccc(cc1)N=CNO	CHEMBL103163
c1sc2ncccc2c1-c1ccccc1	CHEMBL3317711
CC(C)CNC(=S)NCCc1ccccc1	CHEMBL103822
COCCCNC(=O)NN=Cc1ccco1	CHEMBL3318347
COCC(OC)C1CCC(C=NO)=CC1	CHEMBL104242
CC(C)(O)C1CCC(C=NO)=CC1	CHEMBL106214
COc1ccc(cn1)N1C2CCC1CC2	CHEMBL105736
O=C1Nc2ccccc2-c2cccnc12	CHEMBL107738
CCCn1cnc2c(ncnc12)N(C)C	CHEMBL108155
CCc1ccc2[nH]cc(CCN)c2c1	CHEMBL107511
COc1cc(CC=C)ccc1OC(C)=O	CHEMBL108299
CNc1ncnc2n(CC3CC3)cnc12	CHEMBL110883
CC(C)Cc1cccc(CC(C)C)c1O	CHEMBL109956
COc1ccc(cc1OC)-c1ccncc1	CHEMBL110142
CC#CCON=C1CC2CCC(C1)N2C	CHEMBL111123
CCCCn1cnc2c1NC(N)=NC2=O	CHEMBL113652
CNc1nc(Br)cn2c(CO)cnc12	CHEMBL112383
COc1nc(Br)cn2c(CO)cnc12	CHEMBL116125
Brc1ccc2NC(=O)C(=O)c2c1	CHEMBL115897
CCCCCCCCOC(=O)c1ccccc1O	CHEMBL117388
CON1C(=O)CC2(CCCC2)C1=O	CHEMBL115632
C1CN(CCN1)c1cncc2nccn12	CHEMBL120491
CC1C(=O)SC(C)(CC#C)C1=O	CHEMBL122046
CCN=NNc1ccc(cc1)C(=O)OC	CHEMBL121465
CCc1nc(ncc1C(O)=O)N(C)C	CHEMBL121546
CCN(CO)N=Nc1ccc(cc1)C#N	CHEMBL121360
COc1cc(CC(C)N)c(SC)cc1C	CHEMBL123914
CCC(=O)NCCc1cc(C)ccc1OC	CHEMBL123863
CCOc1cc(CCN)cc(OC)c1OCC	CHEMBL124125
COc1ccc(cc1)C(=NO)C(C)N	CHEMBL123422
CCCSc1cc(OC)c(CCN)cc1OC	CHEMBL126432
COc1cc(CC(C)N)cc2OCOc12	CHEMBL126506
CCOc1c(OC)cc(CCN)cc1SCC	CHEMBL126586
CCCN=C(N)NCCCC(N)C(O)=O	CHEMBL126713
COc1cc(SCCF)c(OC)cc1CCN	CHEMBL126582
CCOc1cc(CCN)cc(SC)c1OCC	CHEMBL126583
CC(=O)CCC1CCCC[N+]1(C)C	CHEMBL124471
CCCSc1c(OC)cc(CCN)cc1OC	CHEMBL127855
CCOc1cc(CCN)cc(OC)c1SCC	CHEMBL126860
COc1cc(CCN)c(OC)c(C)c1C	CHEMBL127202
CCSc1cc(OC)c(CCNO)cc1OC	CHEMBL127595
Nc1nc(NCCO)[nH]c2ncnc12	CHEMBL130306
Cc1cc(ccc1O)C(=O)C(O)=O	CHEMBL130705
CCCCOc1nsnc1OC1CCN(C)C1	CHEMBL129781
CN1C(=O)NCC11CN2CCC1CC2	CHEMBL130124
CCNCCCCNCC1CC1CNCCCCNCC	CHEMBL132325
CCOn1c(C)nc2ccc(Cl)cc12	CHEMBL129945
CC(=S)Nc1ccc(cc1)C(O)=O	CHEMBL130648
COc1ccc(C=NNC(=O)NO)cc1	CHEMBL131959
CC(=NO)c1ccc(cc1)C(O)=O	CHEMBL129905
CCCCNC1CCc2c(C1)cccc2OC	CHEMBL131851
Cn1cnc2c(N)nc(NCCO)nc12	CHEMBL132369
COc1cccc(C=NNC(=O)NO)c1	CHEMBL133649
COc1cc(CN2CCCCC2)ccc1O	CHEMBL3321891
CSCc1cnc2nc(N)nc(N)c2n1	CHEMBL133419
Nc1ncnc2n(CC#CCCl)cnc12	CHEMBL135806
COc1cccc2CC(CCc12)N(C)C	CHEMBL134866
CCCN1CCCC11COc2ccccc2C1	CHEMBL135490
CN(C)CCC(=O)C=Cc1ccccc1	CHEMBL137510
CN(C)CCCOc1cccc2ccccc12	CHEMBL138136
Cc1ccc(cc1O)[N+](C)(C)C	CHEMBL137560
Cc1ccc(O)cc1[N+](C)(C)C	CHEMBL137561
CC(C)CCn1ccc2c(C)cccc12	CHEMBL137932
CC(C)NCCOc1cccc2ccccc12	CHEMBL138963
CCNC12CCC(C1)C(C)C2(C)C	CHEMBL140767
Clc1ccc2c(c1)oc1ccccc21	CHEMBL139588
NC(=O)NCCc1cccc2ccccc12	CHEMBL138675
Oc1c(Br)cc(Cl)c2cccnc12	CHEMBL139938
CCNC12CCC(C1)C(C)(C)C2C	CHEMBL140401
CC(=O)NCCc1cccc2OCCOc12	CHEMBL141796
CCCCCCCSc1ccccc1OC(C)=O	CHEMBL143339
Nc1nccc2n(CC(O)CO)cnc12	CHEMBL142322
Nc1ccc(N=Nc2ccccc2)c(N)n1	CHEMBL1242
CC(=O)Oc1ccccc1SCCCCCCI	CHEMBL145180
CC(=O)Oc1ccccc1SCCCCC#N	CHEMBL144414
CCCC#CCSc1ccccc1OC(C)=O	CHEMBL144920
C1CN2CCC1C(=C2)c1ccccn1	CHEMBL144493
CCCc1nc(nnc1C)-c1ccccn1	CHEMBL144577
CCc1nc(Cc2c[nH]cn2)sc1C	CHEMBL144495
CCCCOCCSc1ccccc1OC(C)=O	CHEMBL145247
CCCCCCCOc1ccccc1OC(C)=O	CHEMBL145646
CCCOCCCSc1ccccc1OC(C)=O	CHEMBL145647
CCCCCCCCc1ccccc1OC(C)=O	CHEMBL145598
CCc1sc(C)nc1Cc1c[nH]cn1	CHEMBL145852
CC(C)NC1CCc2cccc(O)c2C1	CHEMBL145945
COc1ccc2C(CCc2c1)NC(C)C	CHEMBL145874
COCCNC1CCCc2cc(OC)ccc12	CHEMBL147530
CC1(C)OC(C)(C)c2nncnc12	CHEMBL148207
CNC(=O)NCCSCc1[nH]cnc1C	CHEMBL147889
Cc1cc(ccc1O)N(CCCl)CCCl	CHEMBL148077
CCc1sc(Cc2c[nH]cn2)nc1C	CHEMBL148566
CCCc1nnc(nc1C)-c1ccccn1	CHEMBL149079
COc1ccc(NC(=S)C#N)cc1OC	CHEMBL150753
C1CN=C(N1)C1Cc2ccccc2O1	CHEMBL151352
CC(C(N)=O)=C(C)c1ccccc1	CHEMBL151951
CCN1CCC=C(C1)C(=NOC)C#N	CHEMBL152524
CCCCCCCCCSC(=S)NNC(C)=O	CHEMBL153618
OCCOn1cnc2c1NC(F)=NC2=S	CHEMBL153986
CC1CN(C)C(C)c2cc[nH]c12	CHEMBL154917
COCCNc1nc(SC)nc2ncccc12	CHEMBL154592
Nc1nc(I)nc2n(OCCO)cnc12	CHEMBL154441
CSc1nc(NCC=C)c2cccnc2n1	CHEMBL155253
CCc1ccccc1OC(C)C1=NCCN1	CHEMBL156336
C1COCCOc2ccccc2OCCOCCO1	CHEMBL158353
CCOc1cc(CCN)cc(OCC)c1OC	CHEMBL159684
COc1ccccc1C(=O)N1CCNCC1	CHEMBL158884
OC(=O)C1=CNc2ccccc2C1=O	CHEMBL158890
COc1ccc(CC(C)N)c2OCOc12	CHEMBL159299
Cc1ccc(NC(=O)NCCCl)cc1C	CHEMBL160114
NC1=NC2(CCc3ccccc23)CN1	CHEMBL160990
CCOc1cc(CCN)cc(OCC)c1SC	CHEMBL160066
Clc1ccccc1C(=O)Cn1ccnc1	CHEMBL162222
CCCOc1cc(CCN)cc(OC)c1OC	CHEMBL161588
CN1CCN(CCc2ccccc2Cl)CC1	CHEMBL161650
OC(=O)C1CCCCC1C(=O)NCCS	CHEMBL163549
CC1CC(O)(CN)C(O)C(O)C1O	CHEMBL162540
COc1cc2NC=CC(=O)c2cc1OC	CHEMBL163784
CNC1=NCc2c(O)c(O)ccc2N1	CHEMBL164482
NC(NCC1CCCCC1)=NCC(O)=O	CHEMBL166099
NNC(=O)c1ccccc1-n1cccc1	CHEMBL167260
CCOC(=O)CC(=O)c1ccccc1O	CHEMBL167152
CCC(c1c[nH]cn1)c1cscc1C	CHEMBL169804
NC(CCSCc1csc(N)n1)=NC#N	CHEMBL169976
CC(CC#CCN1CCCC1)C(C)=NO	CHEMBL167522
CNC1Cc2c(C1)c(OC)ccc2OC	CHEMBL169080
CCCNc1nc(C)[nH]c2nccc12	CHEMBL169579
Cc1nc2c(C)c(C)ccc2[nH]1	CHEMBL172745
COC1=NC(C(C)C)C(OC)=NC1	CHEMBL170671
Cc1sc(N)nc1-c1ccc(O)cc1	CHEMBL173412
CN1CCc2cccc(OCC=C)c2CC1	CHEMBL173581
NC1=NC(Nc2ccccc12)C1CC1	CHEMBL173920
CCCCC1C(O)CCCC11CCCCN1C	CHEMBL173763
CCN(CC)C1CC1c1cccc(O)c1	CHEMBL175594
C1CN=C(N1)C1Cc2ccccc2C1	CHEMBL174824
NNc1ccc(cc1F)S(N)(=O)=O	CHEMBL176180
CC1CNCCc2cc(O)c(Br)cc12	CHEMBL178313
CCCSC(Nc1ccc(Cl)cc1)=NC	CHEMBL178498
NC(=S)CCN1NC(=O)C=CC1=O	CHEMBL177032
CCCSC(Nc1cccc(Cl)c1)=NC	CHEMBL181734
COc1cccnc1C(=O)Nc1nccs1	CHEMBL183136
Cc1c(Cl)cccc1NC(=S)NCCO	CHEMBL182451
CCOCCOc1cccc2ccc(N)nc12	CHEMBL185065
CCCCCOc1cccc2ccc(N)nc12	CHEMBL186481
COc1ccc2C(=O)C(=C)Cc2c1	CHEMBL186008
COc1ccc2C3CNCC(C3)Cc2c1	CHEMBL187992
CCC=CCCCCCCCCOP(O)(O)=O	CHEMBL190349
OCCOCN1C=C2C=CNC2=NC1=O	CHEMBL190375
CCC=CCCCCCCCCOP(O)(O)=S	CHEMBL190484
COc1ccc2CC3CNCC(C3)c2c1	CHEMBL190750
Cn1cnc2c(N)nc3ccccc3c12	CHEMBL192118
CCCC1(CCC)CC1(CN)C(O)=O	CHEMBL192313
COc1cccc2C3CNCC(C3)Cc12	CHEMBL193005
Clc1ccc(cc1)-c1ccccc1Cl	CHEMBL195890
Cc1cccc(Nc2ncccc2C#N)n1	CHEMBL197673
CC=COC(=O)CC1=CCCCCC1=O	CHEMBL197993
N#Cc1ccc2C3CC(CNC3)c2c1	CHEMBL196626
CCOc1ncccc1Nc1cccc(C)n1	CHEMBL197492
CCCc1cccnc1Nc1cccc(C)n1	CHEMBL198824
CCOc1ccccc1Nc1cccc(C)n1	CHEMBL198681
CCNc1cccnc1Nc1cccc(C)n1	CHEMBL198757
CC1C(=O)SC(C)(CC=C)C1=O	CHEMBL199963
CCc1sc(C)nc1C#Cc1cccnc1	CHEMBL202277
COc1ccccc1C#Cc1csc(C)n1	CHEMBL202002
Cc1ccc2c(ccc(O)c2n1)N=O	CHEMBL202318
Cc1ccccc1CSCCC(N)C(O)=O	CHEMBL203743
CC1=CC(=O)NC(=O)N1COCCO	CHEMBL206108
Clc1ncc(cc1Br)N1CCCNCC1	CHEMBL210742
Oc1ccccc1C(=O)c1cccnc1	CHEMBL3330388
Cc1ccc2c(CCN)c[nH]c2c1	CHEMBL3330642
Oc1c(Br)cc(Br)c2cccnc12	CHEMBL223448
Clc1cccc2C(=O)C(=O)Nc12	CHEMBL222190
CSc1ccccc1NC(=N)NC(N)=N	CHEMBL221310
COc1ccc(cc1I)C(O)C(O)=O	CHEMBL221754
CCOC(=O)NN=Cc1ccc(O)cc1	CHEMBL221832
NCc1cccc(CC2CCCNC2=O)c1	CHEMBL223197
ClN1C(=O)C(=O)c2ccccc12	CHEMBL222999
Brc1ccc2C(=O)C(=O)Nc2c1	CHEMBL223335
Clc1ncccc1NC(=O)c1cccs1	CHEMBL223797
COc1ccc2NC(=O)C(=O)c2c1	CHEMBL222660
CCC1(C)OC(=CC1=O)C(O)=O	CHEMBL223704
COc1cccc2C(=O)C(=O)Nc12	CHEMBL223785
COc1cc(cc(OC)c1O)C(C)=O	CHEMBL224146
CCC1(NC(=O)NC1=O)c1ccccc1	CHEMBL1438
Clc1ncccc1OC(=O)c1cccs1	CHEMBL225232
Oc1ccc(C=NNc2ccccc2)cc1	CHEMBL224032
OCN1C(=O)C(=O)c2ccccc12	CHEMBL225175
Clc1ccc2C(=O)C(=O)Nc2c1	CHEMBL224822
CN1CNS(=O)(=O)c2ccccc12	CHEMBL226584
Cc1cnnc(n1)C#Cc1ccccc1C	CHEMBL226783
Oc1ccccc1NC(=O)c1ccccc1	CHEMBL229357
Brc1cccc2C(=O)C(=O)Nc12	CHEMBL228239
COc1c(Br)cc(CO)c(O)c1Br	CHEMBL229308
ONC(=S)NN=Cc1ccc(Cl)cc1	CHEMBL230378
COc1ccc(C=NNC(=S)NO)cc1	CHEMBL230274
CCCCC1CN(CCC1N)C1CCCCC1	CHEMBL234413
CCCCc1[nH]nc(C(O)=O)c1F	CHEMBL235009
Nc1ccccc1NC(=O)c1cccnc1	CHEMBL236678
Cc1ccccc1NC(=O)CSC(N)=O	CHEMBL236685
CCCCCCc1ccccc1OC(=O)C=C	CHEMBL237456
Cc1ccccc1-c1cccc(CCN)c1	CHEMBL234885
